142;296;/products/deposits/deposit/296/?mark_rate=2818390&sum=0&currency_id=45&period=365&rate=19&cap=0&pp=3&ppv=1m;"«Стандарт»";"БИНБАНК кредитные карты";19.0;1.0;5000;;;"возможно";"
										есть ограничения:
										максимальная сумма									";"
									150 000 рублей, 5 000 долларов/евро в течение календарного месяца; если первоначальная сумма вклада превышает 150 000 рублей, 5 000 долларов, 5 000 евро, максимальная сумма доп.взносов в течение календарного месяца не должна превышать первоначальную сумму вклада; также через систему Интернет-банк ""Приват24"", в терминалах самообслуживания банка, регулярным платежом с зарплатной/личной карты или другого счета								";"2014-12-26 13:06:40.653632";"2014-12-26 14:00:50.821041"
143;10640;/products/deposits/deposit/10640/?mark_rate=2842688&sum=0&currency_id=45&period=370&rate=19&cap=0&pp=3&ppv=1m;"«Надежный Плюс Повышенный»";"Плюс Банк";19.0;1.01369863013699;5000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									1 000 рублей								";"2014-12-26 13:06:40.670654";"2014-12-26 14:00:51.637259"
147;8345;/products/deposits/deposit/8345/?mark_rate=2822300&sum=0&currency_id=45&period=548&rate=19&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Долгосрочный»";"Миръ";19.0;1.5013698630137;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:40.743585";"2014-12-26 14:00:52.568051"
148;11065;/products/deposits/deposit/11065/?mark_rate=2822290&sum=0&currency_id=45&period=548&rate=19&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Ликвидный долгосрочный»";"Миръ";19.0;1.5013698630137;30000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:40.765118";"2014-12-26 14:00:53.254041"
152;11892;/products/deposits/deposit/11892/?mark_rate=2845312&sum=0&currency_id=45&period=365&rate=19&cap=0&pp=1&ppv=END;"«Новогодний»";"БФГ-Кредит";19.0;1.0;250000;;;"возможно";;;"2014-12-26 13:06:44.637749";"2014-12-26 14:00:54.032416"
153;381;/products/deposits/deposit/381/?mark_rate=2827584&sum=0&currency_id=45&period=365&rate=19&cap=0&pp=3&ppv=1m;"«Универсальный +»";"Банк «МБА-Москва»";19.0;1.0;500000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									в течение первых 45/135 дней (в зависимости от срока вклада)								";"2014-12-26 13:06:44.654872";"2014-12-26 14:00:54.841516"
154;2057;/products/deposits/deposit/2057/?mark_rate=2827946&sum=0&currency_id=45&period=546&rate=19&cap=0&pp=1&ppv=END;"«Поделись теплом - Помоги детям»";"Банк ИТБ";19.0;1.4958904109589;500000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									5 000 рублей, 100 долларов/евро; не позднее чем за 31 день до окончания срока вклада								";"2014-12-26 13:06:44.674761";"2014-12-26 14:00:55.732612"
155;1162;/products/deposits/deposit/1162/?mark_rate=2828025&sum=0&currency_id=45&period=546&rate=19&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Элитный +»";"Банк ИТБ";19.0;1.4958904109589;600000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									15 000 рублей, 500 долларов/евро; не позднее чем за 31 день до окончания срока вклада								";"2014-12-26 13:06:44.691837";"2014-12-26 14:00:56.674922"
157;11746;/products/deposits/deposit/11746/?mark_rate=2835782&sum=0&currency_id=45&period=365&rate=19&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Кабинет»";"Хоум Кредит Банк";19.0;1.0;3000000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									1 000 рублей								";"2014-12-26 13:06:44.730893";"2014-12-26 14:00:57.423644"
158;11393;/products/deposits/deposit/11393/?mark_rate=2848543&sum=0&currency_id=45&period=365&rate=18.81&cap=0&pp=1&ppv=END;"«Гагаринский - Юбилейный»";"Гагаринский";18.81;1.0;5000;;;"возможно";"
										есть ограничения:
										минимальная сумма									";"
									3 000 рублей								";"2014-12-26 13:06:44.750385";"2014-12-26 14:00:58.121325"
160;7992;/products/deposits/deposit/7992/?mark_rate=2846635&sum=0&currency_id=45&period=365&rate=18.81&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Метрополь (рубли)»";"Метрополь";18.81;1.0;100000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									5 000 рублей; не позднее 60 дней до окончания срока вклада								";"2014-12-26 13:06:44.790708";"2014-12-26 14:00:58.745203"
164;12368;/products/deposits/deposit/12368/?mark_rate=2849116&sum=0&currency_id=45&period=372&rate=18.8&cap=0&pp=3&ppv=1m;"«Блиц»";"Интехбанк";18.8;1.01917808219178;100000;;;"возможно";;;"2014-12-26 13:06:44.861510";"2014-12-26 14:01:00.363808"
165;1164;/products/deposits/deposit/1164/?mark_rate=2827990&sum=0&currency_id=45&period=546&rate=18.8&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Универсальный»";"Банк ИТБ";18.8;1.4958904109589;500000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									не позднее чем за 31 день до окончания срока вклада								";"2014-12-26 13:06:44.877036";"2014-12-26 14:01:01.036118"
166;534;/products/deposits/deposit/534/?mark_rate=2830979&sum=0&currency_id=45&period=367&rate=18.75&cap=1&cp=3&cpv=1m&pp=3&ppv=1m;"«Копилка»";"Первый Чешско-Российский Банк";18.75;1.00547945205479;700000;;;"возможно";"
										есть ограничения:
										срок внесения пополнения									";"
									прекращается за 30 дней до окончания срока действия вклада								";"2014-12-26 13:06:44.898994";"2014-12-26 14:01:01.665408"
168;5645;/products/deposits/deposit/5645/?mark_rate=2827867&sum=0&currency_id=45&period=546&rate=18.7&cap=0&pp=1&ppv=END;"«Ипотечный»";"Банк ИТБ";18.7;1.4958904109589;600000;;;"возможно";"
										есть ограничения:
										минимальная сумма, срок внесения пополнения									";"
									10 000 рублей; прекращается за 31 день до даты окончания вклада								";"2014-12-26 13:06:44.933612";"2014-12-26 14:01:02.460707"
